ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4779,4779,4750,1591,120,21,114,1,2,2,285,22,50,74,23,2031,2022,19,100,2128,2128,2128,51,63,74,625,50,58,23,264
15,11,13,11,1,1,1,1,2,1,11,9,10,8,1,11,11,7,2,11,11,11,11,9,9,11,9,9,9,11
3,3,3,3,1,1,1,1,1,2,3,3,3,3,1,3,3,2,1,3,3,3,3,3,3,3,3,3,3,3
1056,1056,1044,658,69,17,64,1,2,2,245,22,50,71,17,726,736,19,46,747,747,747,50,56,70,400,50,54,22,225
5699,5699,5630,671,151,24,141,1,2,2,157,22,50,58,24,1113,1163,19,162,1223,1223,1223,49,56,60,202,47,54,22,147
1381,1381,1371,294,90,20,87,1,2,2,100,21,40,45,20,384,403,19,52,411,411,411,38,49,46,112,39,46,21,86
50157,50157,45097,9152,216,28,203,1,2,2,302,23,50,78,24,16220,17166,19,778,20480,20480,20481,51,75,77,796,50,61,23,275
13087,13087,12542,6500,122,23,112,1,2,2,299,23,50,77,22,8260,8791,19,322,9521,9521,9521,51,67,77,772,50,61,23,273
17288,17288,17151,2591,163,24,155,1,2,2,297,22,50,76,22,4044,3970,17,653,4335,4334,4335,51,68,76,712,50,60,23,270
2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1
502,502,500,220,47,11,46,1,2,2,132,23,48,65,14,238,239,19,43,241,241,241,47,57,64,151,47,56,22,122
4,4,4,4,1,1,1,1,2,1,4,4,4,4,1,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4
2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
22119,22119,21789,5850,164,28,149,1,2,2,298,23,50,77,23,9352,9587,19,517,10826,10826,10826,51,69,77,775,50,61,23,272
6405,6405,6349,2538,162,24,147,1,2,2,295,22,50,76,22,3544,3639,12,406,3914,3914,3914,50,62,74,665,50,58,22,269
10101,10101,9954,1384,182,24,169,1,2,2,284,23,50,75,23,2148,2212,18,263,2385,2385,2385,50,65,75,522,50,60,22,261
36978,36978,35842,1545,215,28,197,1,2,2,263,23,50,73,23,3121,3225,19,549,3726,3726,3726,50,64,71,463,50,58,22,243
4,4,4,4,1,1,1,1,2,1,4,4,4,4,1,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4
4551,4551,4444,441,129,23,120,1,2,2,156,22,46,58,22,736,739,6,502,805,805,805,45,54,58,219,46,53,22,157
126,126,126,85,18,9,18,1,2,2,60,20,29,31,9,90,90,6,46,91,91,91,28,35,32,66,30,34,20,62
